       step          sn     cputime cputimediff       angle         ref       error           v 
 197.000000  435.000000    2.185378    0.005902   64.599609   63.000000   -1.599609   -0.351035 
 198.000000  436.000000    2.191295    0.005917   62.929688   64.800000    1.870313    0.397540 
 199.000000  437.000000    2.197242    0.005946   61.435547   66.600000    5.164453    0.763576 
 200.000000  438.000000    2.203144    0.005902   61.523437   68.400000    6.876562    1.015602 
 201.000000  439.000000    2.209093    0.005950   63.369141   70.200000    6.830859    0.955596 
 202.000000  441.000000    2.215048    0.005954   70.664062   73.800000    3.135938    0.723072 
 203.000000  442.000000    2.220995    0.005947   75.234375   75.600000    0.365625    0.129013 
 204.000000  443.000000    2.227076    0.006082   80.419922   77.400000   -3.019922   -0.157516 
 205.000000  444.000000    2.233012    0.005935   82.968750   79.200000   -3.768750   -0.519052 
 206.000000  445.000000    2.238914    0.005902   85.341797   81.000000   -4.341797   -0.241524 
 207.000000  447.000000    2.244864    0.005950   87.451172   84.600000   -2.851172   -0.315032 
 208.000000  448.000000    2.250759    0.005895   87.099609   86.400000   -0.699609    0.103510 
 209.000000  449.000000    2.256647    0.005888   86.396484   88.200000    1.803516    0.384038 
 210.000000  450.000000    2.262547    0.005900   85.781250   90.000000    4.218750    0.637564 
 211.000000  451.000000    2.268446    0.005899   85.605469   91.800000    6.194531    0.826583 
 212.000000  452.000000    2.274344    0.005898   87.011719   93.600000    6.588281    0.936094 
 213.000000  454.000000    2.280241    0.005898   92.460938   97.200000    4.739063    0.798080 
 214.000000  455.000000    2.286145    0.005903   96.855469   99.000000    2.144531    0.388539 
 215.000000  456.000000    2.292039    0.005894  101.337891  100.800000   -0.537891    0.016502 
 216.000000  457.000000    2.298062    0.006023  105.117188  102.600000   -2.517187   -0.217522 
 217.000000  458.000000    2.303959    0.005897  107.578125  104.400000   -3.178125   -0.291029 
 218.000000  460.000000    2.309854    0.005895  109.863281  108.000000   -1.863281   -0.232523 
 219.000000  461.000000    2.315754    0.005900  109.160156  109.800000    0.639844    0.190519 
 220.000000  462.000000    2.321647    0.005893  108.281250  111.600000    3.318750    0.546055 
 221.000000  463.000000    2.327539    0.005892  107.578125  113.400000    5.821875    0.792079 
 222.000000  464.000000    2.333425    0.005886  107.929688  115.200000    7.270312    0.978098 
 223.000000  465.000000    2.339314    0.005888  109.511719  117.000000    7.488281    0.963096 
 224.000000  467.000000    2.345212    0.005899  115.839844  120.600000    4.760156    0.843084 
 225.000000  468.000000    2.351113    0.005901  120.673828  122.400000    1.726172    0.352535 
 226.000000  469.000000    2.357013    0.005900  125.156250  124.200000   -0.956250   -0.067507 
 227.000000  470.000000    2.362911    0.005898  128.144531  126.000000   -2.144531   -0.244524 
 228.000000  471.000000    2.368892    0.005981  131.220703  127.800000   -3.420703   -0.151515 
 229.000000  473.000000    2.374784    0.005893  133.945312  131.400000   -2.545312   -0.375038 
 230.000000  474.000000    2.380686    0.005902  133.593750  133.200000   -0.393750    0.118512 
 231.000000  475.000000    2.386579    0.005894  132.626953  135.000000    2.373047    0.421542 
 232.000000  476.000000    2.392471    0.005892  131.748047  136.800000    5.051953    0.730573 
 233.000000  477.000000    2.398372    0.005901  131.396484  138.600000    7.203516    0.943594 
 234.000000  478.000000    2.404382    0.006010  132.626953  140.400000    7.773047    1.054605 
 235.000000  480.000000    2.410398    0.006015  138.515625  144.000000    5.484375    0.948095 
 236.000000  481.000000    2.416350    0.005952  142.998047  145.800000    2.801953    0.397540 
 237.000000  482.000000    2.422303    0.005953  147.304688  147.600000    0.295313    0.073507 
 238.000000  483.000000    2.428249    0.005947  152.138672  149.400000   -2.738672   -0.111011 
